"DEPARTURE","ARRIVAL","ORIGIN","DEST","DISTANCE","DEP_DELAY","ARR_DELAY",
1456810080,1456819188,"EWR","DFW",1372.00,-2.00,2.00, 
1456896240,1456904664,"EWR","DFW",1372.00,-6.00,-21.00, 
1456982640,1456991208,"EWR","DFW",1372.00,-6.00,-17.00, 
1457069220,1457078544,"EWR","DFW",1372.00,-3.00,7.00, 
1456856580,1456863420,"DFW","EWR",1372.00,18.00,10.00, 
1456941600,1456947936,"DFW","EWR",1372.00,-5.00,-27.00, 
1457032500,1457039664,"DFW","EWR",1372.00,5.00,8.00, 
1457118240,1457125116,"DFW","EWR",1372.00,-6.00,-11.00, 
1457204640,1457211408,"DFW","EWR",1372.00,-6.00,-14.00, 
1456822140,1456828656,"LGA","MCO",950.00,-6.00,-7.00, 
1456908360,1456915308,"LGA","MCO",950.00,-9.00,2.00, 
1456995060,1457003628,"LGA","MCO",950.00,-4.00,52.00, 
1457081400,1457090220,"LGA","MCO",950.00,-5.00,58.00, 
1457167500,1457175240,"LGA","MCO",950.00,-10.00,23.00, 
1456830720,1456835832,"ORD","JFK",740.00,11.00,20.00, 
1456916400,1456920612,"ORD","JFK",740.00,-1.00,-17.00, 
1457003820,1457008068,"ORD","JFK",740.00,16.00,1.00, 
1457089080,1457093724,"ORD","JFK",740.00,-3.00,-7.00, 
1457175360,1457179500,"ORD","JFK",740.00,-5.00,-23.00, 
1456855260,1456862568,"JFK","ORD",740.00,111.00,135.00, 
1456935120,1456941168,"JFK","ORD",740.00,2.00,-9.00, 
1457021100,1457026860,"JFK","ORD",740.00,-5.00,-24.00, 
1457107500,1457113008,"JFK","ORD",740.00,-5.00,-31.00, 
1457194200,1457199312,"JFK","ORD",740.00,0.00,-37.00, 
1457202060,1457208684,"DFW","EWR",1372.00,12.00,-2.00, 
1457041500,1457049564,"SAN","ORD",1723.00,-5.00,-26.00, 
1457127900,1457136216,"SAN","ORD",1723.00,-5.00,-19.00, 
1456846740,1456860528,"JFK","LAX",2475.00,9.00,1.00, 
1456932780,1456946676,"JFK","LAX",2475.00,3.00,-2.00, 
1457018820,1457032212,"JFK","LAX",2475.00,-3.00,-22.00, 
1457105460,1457119464,"JFK","LAX",2475.00,1.00,-1.00, 
1457191980,1457205624,"JFK","LAX",2475.00,3.00,-9.00, 
1456859220,1456873872,"MIA","SEA",2724.00,-7.00,-16.00, 
1456945800,1456961424,"MIA","SEA",2724.00,-4.00,14.00, 
1457033040,1457048484,"MIA","SEA",2724.00,10.00,23.00, 
1457118420,1457133036,"MIA","SEA",2724.00,-7.00,-17.00, 
1456810680,1456820112,"LGA","DFW",1389.00,-10.00,0.00, 
1456897440,1456906476,"LGA","DFW",1389.00,-4.00,-5.00, 
1456983960,1456992636,"LGA","DFW",1389.00,-7.00,-18.00, 
1457070540,1457079648,"LGA","DFW",1389.00,-4.00,-3.00, 
1457156700,1457166672,"LGA","DFW",1389.00,-8.00,17.00, 
1456846920,1456853472,"DFW","LGA",1389.00,2.00,-9.00, 
1456933080,1456940316,"DFW","LGA",1389.00,-2.00,6.00, 
1457019600,1457026620,"DFW","LGA",1389.00,0.00,2.00, 
1457105760,1457113860,"DFW","LGA",1389.00,-4.00,28.00, 
1456815900,1456819752,"ATL","MIA",594.00,-5.00,-18.00, 
1456902300,1456906296,"ATL","MIA",594.00,-5.00,-14.00, 
1456988820,1456992924,"ATL","MIA",594.00,-3.00,-9.00, 
1457075040,1457078928,"ATL","MIA",594.00,-6.00,-18.00, 
1457161500,1457165604,"ATL","MIA",594.00,-5.00,-11.00, 
1456831680,1456845072,"MIA","LAX",2342.00,-2.00,11.00, 
1456918080,1456931580,"MIA","LAX",2342.00,-2.00,14.00, 
1457004060,1457016804,"MIA","LAX",2342.00,-8.00,-12.00, 
1457090880,1457103228,"MIA","LAX",2342.00,-1.00,-16.00, 
1457177220,1457189424,"MIA","LAX",2342.00,-2.00,-21.00, 
1456858380,1456866156,"DFW","SJC",1438.00,58.00,43.00, 
1456941060,1456949124,"DFW","SJC",1438.00,-4.00,-11.00, 
